Indicator,Points,Rating,Weight,Weighted Points
ELA Academic Achievement,21.06,Does Not Meet Expectations,2.00,42.120
Math Academic Achievement,46.71,Approaches Expectations,2.00,93.420
ELA Academic Progress,47.78,Approaches Expectations,2.00,95.560
Math Academic Progress,71.78,Meets Expectations,2.00,143.560
ELA Closing Achievement Gaps,47.42,Approaches Expectations,0.50,23.710
Math Closing Achievement Gaps,10.99,Does Not Meet Expectations,0.50,5.495
Progress in Achieving English Language Proficiency,28.16,Does Not Meet Expectations,1.00,28.160
Addressing Chronic Absenteeism,48.04,Does Not Meet Expectations,1.00,48.040
Elementary/Middle School Overall Weight and Points:,,,11.00,43.64
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Enrollment,Enrollment Percent
Grades 03-08,205,100.00 %
Grades 09-12,0,0.00 %
Sugroup,Points,Rating,Subgroup,Points,Rating
American Indian/Alaskan Native,0,No Rating,Asian,0,No Rating
Black,39.84,Does Not Meet Expectations,Hispanic Ethnicity,46.58,Approaches Expectations
Multiracial,0,No Rating,Native Hawaiian or Other Pacific Islander,0,No Rating
White,0,No Rating,English Language Learner,39.17,Does Not Meet Expectations
Free/Reduced Lunch,38.35,Does Not Meet Expectations,Special Education,23.2,Does Not Meet Expectations
,Grades 03-08,,,,
Subject Area,Pass Rate,Participation,Perf. Points,Goal Factor,Overall Points
English/Lang. Arts,15.6 % ( 21 /  135),100.0 % ( 136 /  136),15.6,1.35,21.06
Mathematics,34.6 % ( 47 /  136),100.0 % ( 136 /  136),34.6,1.35,46.71
,Grade 11,,,,
Subject Area,Pass Rate,Participation,Perf. Points,Goal Factor,Overall Points
English/Lang. Arts,,,,,
Mathematics,,,,,
,Grades 4-8,,
Subject Area,Adequate Growth Rate,Goal Factor,Overall Points
English/Lang. Arts,36.2 % ( 34 /  94),1.32,47.78
Mathematics,49.5 % ( 46 /  93),1.45,71.78
,Grade 112,,
Subject Area,Adequate Growth Rate,Goal Factor,Overall Points
English/Lang. Arts,,,
Mathematics,,,
,Grades 4-8,,,,
Subject Area,Bottom 25% Adequate Growth Rate,Top 75% Adequate Growth Rate,Weighted Adequate Growth Rate,Goal Factor,Overall Points
English/Lang. Arts,30.4 % ( 7 /  23),38.0 % ( 27 /  71),31.2 %,1.52,47.42
Mathematics,0.0 % ( 0 /  22),64.8 % ( 46 /  71),6.5 %,1.69,10.99
,,,,,
,,,,,
,,,,,
,,,,,
Grade Span,Met Goal or Achieved Proficiency Rate,Goal Factor,Points
Grades K-8,18.9 % ( 7 /  37),1.49,28.16
,,,
Grade Span,Model Attendee Rate,Goal Factor,Overall Points
Grades K-8,39.7 % ( 92 /  232),1.21,48.04
,,,
