Indicator,Points,Rating,Weight,Weighted Points
ELA Academic Achievement,8.51,Does Not Meet Expectations,2.00,17.020
Math Academic Achievement,14.72,Does Not Meet Expectations,2.00,29.440
ELA Academic Progress,32.08,Does Not Meet Expectations,2.00,64.160
Math Academic Progress,20.74,Does Not Meet Expectations,2.00,41.480
ELA Closing Achievement Gaps,21.28,Does Not Meet Expectations,0.50,10.640
Math Closing Achievement Gaps,24.17,Does Not Meet Expectations,0.50,12.085
Progress in Achieving English Language Proficiency,0.00,No Rating,0.00,0.000
Addressing Chronic Absenteeism,56.99,Does Not Meet Expectations,1.00,56.990
Elementary/Middle School Overall Weight and Points:,,,10.00,23.18
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Enrollment,Enrollment Percent
Grades 03-08,144,100.00 %
Grades 09-12,0,0.00 %
Sugroup,Points,Rating,Subgroup,Points,Rating
American Indian/Alaskan Native,0,No Rating,Asian,0,No Rating
Black,22.92,Does Not Meet Expectations,Hispanic Ethnicity,0,No Rating
Multiracial,0,No Rating,Native Hawaiian or Other Pacific Islander,0,No Rating
White,0,No Rating,English Language Learner,0,No Rating
Free/Reduced Lunch,24.02,Does Not Meet Expectations,Special Education,57.6,Does Not Meet Expectations
,Grades 03-08,,,,
Subject Area,Pass Rate,Participation,Perf. Points,Goal Factor,Overall Points
English/Lang. Arts,6.3 % ( 4 /  64),100.0 % ( 64 /  64),6.3,1.35,8.51
Mathematics,10.9 % ( 7 /  64),100.0 % ( 64 /  64),10.9,1.35,14.72
,Grade 11,,,,
Subject Area,Pass Rate,Participation,Perf. Points,Goal Factor,Overall Points
English/Lang. Arts,,,,,
Mathematics,,,,,
,Grades 4-8,,
Subject Area,Adequate Growth Rate,Goal Factor,Overall Points
English/Lang. Arts,24.3 % ( 9 /  37),1.32,32.08
Mathematics,14.3 % ( 5 /  35),1.45,20.74
,Grade 112,,
Subject Area,Adequate Growth Rate,Goal Factor,Overall Points
English/Lang. Arts,,,
Mathematics,,,
,Grades 4-8,,,,
Subject Area,Bottom 25% Adequate Growth Rate,Top 75% Adequate Growth Rate,Weighted Adequate Growth Rate,Goal Factor,Overall Points
English/Lang. Arts,12.5 % ( 1 /  8),27.6 % ( 8 /  29),14.0 %,1.52,21.28
Mathematics,14.3 % ( 1 /  7),14.3 % ( 4 /  28),14.3 %,1.69,24.17
,,,,,
,,,,,
,,,,,
,,,,,
Grade Span,Met Goal or Achieved Proficiency Rate,Goal Factor,Points
Grades K-8,,,
,,,
Grade Span,Model Attendee Rate,Goal Factor,Overall Points
Grades K-8,47.1 % ( 57 /  121),1.21,56.99
,,,
