Indicator,Points,Rating,Weight,Weighted Points
ELA Academic Achievement,27.00,Does Not Meet Expectations,2.00,54.000
Math Academic Achievement,17.42,Does Not Meet Expectations,2.00,34.840
ELA Academic Progress,40.26,Does Not Meet Expectations,2.00,80.520
Math Academic Progress,34.51,Approaches Expectations,2.00,69.020
ELA Closing Achievement Gaps,11.10,Does Not Meet Expectations,0.50,5.550
Math Closing Achievement Gaps,11.15,Does Not Meet Expectations,0.50,5.575
Progress in Achieving English Language Proficiency,0.00,No Rating,0.00,0.000
Addressing Chronic Absenteeism,49.13,Does Not Meet Expectations,1.00,49.130
Elementary/Middle School Overall Weight and Points:,,,10.00,29.86
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Enrollment,Enrollment Percent
Grades 03-08,199,100.00 %
Grades 09-12,0,0.00 %
Sugroup,Points,Rating,Subgroup,Points,Rating
American Indian/Alaskan Native,0,No Rating,Asian,0,No Rating
Black,28.36,Does Not Meet Expectations,Hispanic Ethnicity,0,No Rating
Multiracial,0,No Rating,Native Hawaiian or Other Pacific Islander,0,No Rating
White,0,No Rating,English Language Learner,0,No Rating
Free/Reduced Lunch,28.97,Does Not Meet Expectations,Special Education,37.27,Does Not Meet Expectations
,Grades 03-08,,,,
Subject Area,Pass Rate,Participation,Perf. Points,Goal Factor,Overall Points
English/Lang. Arts,20.0 % ( 31 /  155),99.4 % ( 155 /  156),20,1.35,27.00
Mathematics,12.9 % ( 20 /  155),99.4 % ( 155 /  156),12.9,1.35,17.42
,Grade 11,,,,
Subject Area,Pass Rate,Participation,Perf. Points,Goal Factor,Overall Points
English/Lang. Arts,,,,,
Mathematics,,,,,
,Grades 4-8,,
Subject Area,Adequate Growth Rate,Goal Factor,Overall Points
English/Lang. Arts,30.5 % ( 32 /  105),1.32,40.26
Mathematics,23.8 % ( 25 /  105),1.45,34.51
,Grade 112,,
Subject Area,Adequate Growth Rate,Goal Factor,Overall Points
English/Lang. Arts,,,
Mathematics,,,
,Grades 4-8,,,,
Subject Area,Bottom 25% Adequate Growth Rate,Top 75% Adequate Growth Rate,Weighted Adequate Growth Rate,Goal Factor,Overall Points
English/Lang. Arts,3.8 % ( 1 /  26),39.2 % ( 31 /  79),7.3 %,1.52,11.10
Mathematics,4.0 % ( 1 /  25),30.0 % ( 24 /  80),6.6 %,1.69,11.15
,,,,,
,,,,,
,,,,,
,,,,,
Grade Span,Met Goal or Achieved Proficiency Rate,Goal Factor,Points
Grades K-8,,,
,,,
Grade Span,Model Attendee Rate,Goal Factor,Overall Points
Grades K-8,40.6 % ( 104 /  256),1.21,49.13
,,,
