Indicator,Points,Rating,Weight,Weighted Points
ELA Academic Achievement,22.14,Does Not Meet Expectations,2.00,44.280
Math Academic Achievement,18.63,Does Not Meet Expectations,2.00,37.260
ELA Academic Progress,46.99,Approaches Expectations,2.00,93.980
Math Academic Progress,33.50,Approaches Expectations,2.00,67.000
ELA Closing Achievement Gaps,34.35,Does Not Meet Expectations,0.50,17.175
Math Closing Achievement Gaps,14.20,Does Not Meet Expectations,0.50,7.100
Progress in Achieving English Language Proficiency,37.25,Approaches Expectations,1.00,37.250
Addressing Chronic Absenteeism,42.23,Does Not Meet Expectations,1.00,42.230
Elementary/Middle School Overall Weight and Points:,,,11.00,31.48
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Enrollment,Enrollment Percent
Grades 03-08,240,100.00 %
Grades 09-12,0,0.00 %
Sugroup,Points,Rating,Subgroup,Points,Rating
American Indian/Alaskan Native,0,No Rating,Asian,0,No Rating
Black,27.79,Does Not Meet Expectations,Hispanic Ethnicity,40.04,Does Not Meet Expectations
Multiracial,0,No Rating,Native Hawaiian or Other Pacific Islander,0,No Rating
White,0,No Rating,English Language Learner,35.81,Does Not Meet Expectations
Free/Reduced Lunch,31.11,Does Not Meet Expectations,Special Education,7.64,Does Not Meet Expectations
,Grades 03-08,,,,
Subject Area,Pass Rate,Participation,Perf. Points,Goal Factor,Overall Points
English/Lang. Arts,"16.4 %
( 29 /  177)","100.0 %
( 190 /  190)",16.4,1.35,22.14
Mathematics,"13.8 %
( 26 /  189)","99.5 %
( 189 /  190)",13.8,1.35,18.63
,Grade 11,,,,
Subject Area,Pass Rate,Participation,Perf. Points,Goal Factor,Overall Points
English/Lang. Arts,,,,,
Mathematics,,,,,
,Grades 4-8,,
Subject Area,Adequate Growth Rate,Goal Factor,Overall Points
English/Lang. Arts,"35.6 %
( 48 /  135)",1.32,46.99
Mathematics,"23.1 %
( 31 /  134)",1.45,33.50
,Grade 112,,
Subject Area,Adequate Growth Rate,Goal Factor,Overall Points
English/Lang. Arts,,,
Mathematics,,,
,Grades 4-8,,,,
Subject Area,Bottom 25% Adequate Growth Rate,Top 75% Adequate Growth Rate,Weighted Adequate Growth Rate,Goal Factor,Overall Points
English/Lang. Arts,"20.6 %
( 7 /  34)","40.6 %
( 41 /  101)",22.6 %,1.52,34.35
Mathematics,"6.1 %
( 2 /  33)","28.7 %
( 29 /  101)",8.4 %,1.69,14.20
,,,,,
,,,,,
,,,,,
,,,,,
Grade Span,"Met Goal or Achieved Proficiency
Rate",Goal Factor,Points
Grades K-8,"25.0 %
( 24 /  96)",1.49,37.25
,,,
Grade Span,"Model Attendee
Rate",Goal Factor,Overall Points
Grades K-8,"34.9 %
( 130 /  373)",1.21,42.23
,,,
