Corp,Name,2016 September ADM,2016 February ADM,2017 September ADM,2017 February ADM,2018 September ADM,2018 February ADM,2019 September ADM,2019 February ADM,2020 Sept 2019 NonVirtual ADM,2020 Sept 2019 Virtual ADM,2020 September ADM,2020 Feb 2020 NonVirtual ADM,2020 Feb 2020 Virtual ADM,2020 February ADM,2021 Sept 2020 NonVirtual ADM ,2021 Sept 2020 Virtual ADM,2021 September ADM,2021 Feb 2021 NonVirtual ADM,2021 Feb 2021 Virtual ADM,2021 February ADM,2022 Sept 2021 NonVirtual ADM,2022 Sept 2021 Virtual ADM,2022 September ADM,2022 Feb 2022 NonVirtual ADM,2022 Feb 2022 Virtual ADM,2022 February ADM
3025,Hamilton Heights School Corp,2254.9,2256.09,2279.18,2250.64,2259.62,2217.62,2240.01,2197.74,2251.97,0,2251.97,2229.94,0,2229.94,2193.11,1,2194.11,2174.73,7,2181.73,2207.58,0,2207.58,2197.96,0,2197.96
3030,Westfield-Washington Schools,7164.1,7154.07,7510.05,7548.05,7834.05,7854.05,8029.05,8074.04,8335.73,0,8335.73,8309.78,0,8309.78,8360,6,8366,8354,6,8360,8737,0,8737,8677,77,8754
3055,Sheridan Community Schools,1038,1036,1032,1031,1083,1078,1045,1024,1032,1,1033,1045,1,1046,1043,3,1046,1019,3,1022,1057,5,1062,1037,9,1046
3060,Carmel Clay Schools,15854.67,15841.49,15941.51,15935.51,16033.69,16089.69,16211.25,16223.41,16513.17,0,16513.17,16492.61,0,16492.61,16305.5,3,16308.5,16243.86,4,16247.86,16119.8,9,16128.8,16141.34,9,16150.34
3070,Noblesville Schools,10059,10046,10289,10203,10420.97,10325.4,10448.22,10336.22,10466,0,10466,10383.41,0,10383.41,10367,2,10369,10297.13,10,10307.13,10480,0,10480,10384,1,10385
3115,Southern Hancock Co Com Sch Corp,3352.5,3350,3439.5,3433.5,3586,3587,3665,3616,3699,0,3699,3644,0,3644,3638,0,3638,3573,0,3573,3651,0,3651,3607,0,3607
3125,Greenfield-Central Com Schools,4499.06,4496.06,4491.22,4479.24,4526.63,4536.57,4459.38,4454.48,4417.48,2,4419.48,4390.07,0,4390.07,4305.77,5,4310.77,4272.77,3,4275.77,4334.02,7,4341.02,4160.28,59,4219.28
3135,Mt Vernon Community Sch Corp,3678,3749,3832,3824,3982,3968,4121,4054,4193,11,4204,4151,11,4162,4299,3,4302,4258,3,4261,4439,10,4449,4362,9,4371
3145,Eastern Hancock Co Com Sch Corp,1190,1190,1208,1224,1215,1206,1196,1184,1183,0,1183,1190,0,1190,1137,0,1137,1131,2,1133,1151,0,1151,1138,0,1138
3160,Lanesville Community School Corp,725.98,727.12,750.02,745,770.28,760,764.3,763,740,0,740,744,0,744,723,0,723,725,0,725,745.13,0,745.13,746.11,0,746.11
3180,North Harrison Com School Corp,2191.47,2183.47,2218,2200.47,2198.94,2178.94,2150,2159.45,2129.94,0,2129.94,2140.94,0,2140.94,2068.43,4,2072.43,2083.01,1,2084.01,2114.45,7,2121.45,2074.5,28,2102.5
3190,South Harrison Com Schools,3042,2995.48,3002.35,3008.43,3020.76,2980.76,2980.84,2973.22,3054.43,38,3092.43,3022.86,39,3061.86,2995.79,6,3001.79,3003.46,9,3012.46,2986.49,15,3001.49,2961.5,5,2966.5
3295,North West Hendricks Schools,1886,1886,1874,1871,1899,1892.36,1843.38,1829,1824,7,1831,1820,3,1823,1843,0,1843,1841,0,1841,1893,6,1899,1876,10,1886
3305,Brownsburg Community Sch Corp,8198,8163,8408,8388,8670,8698,8922,8967,9216.5,0,9216.5,9266.5,0,9266.5,9291,4,9295,9335.5,3,9338.5,9557,0,9557,9642,10,9652
3315,Avon Community School Corp,9235.5,9221.5,9392,9372,9527.5,9455,9749,9718.5,9842,2,9844,9846,9,9855,9900,7,9907,9894,3,9897,10106,46,10152,10024,52,10076
3325,Danville Community School Corp,2508.34,2492.27,2463.24,2475.56,2477.87,2480.96,2522.17,2522.17,2494.19,0,2494.19,2455.05,0,2455.05,2456.12,1,2457.12,2473.17,4,2477.17,2528,14,2542,2527,4,2531
3330,Plainfield Community Sch Corp,5254,5199,5343,5325,5421,5393,5561,5495,5571,0,5571,5556,0,5556,5524,3,5527,5525,3,5528,5526,43,5569,5500,52,5552
3335,Mill Creek Community Sch Corp,1527,1502,1508,1488,1521,1512,1455,1450,1496,0,1496,1502,0,1502,1490,2,1492,1468,2,1470,1514,0,1514,1474,14,1488
3405,Blue River Valley Schools,630,615,624,624,650,655,654,643,612,0,612,609,0,609,589,0,589,580,0,580,595,0,595,597,0,597
3415,South Henry School Corp,788,801,830,832,814,798,750,747,742,0,742,733,0,733,728,0,728,722,0,722,703,0,703,699,6,705
3435,Shenandoah School Corporation,1394,1399,1393,1407,1407,1388,1413,1391.12,1350,0,1350,1321,0,1321,1310,0,1310,1313,1,1314,1287,49,1336,1252,55,1307
3445,New Castle Community Sch Corp,3321,3293,3244,3215,3109,3087,3069,3041,3025,0,3025,2959,0,2959,2908,3,2911,2872,3,2875,2844,1,2845,2757,75,2832
3455,C A Beard Memorial School Corp,1165,1170,1138,1111,1092,1084,1043.9,960.55,1018.95,0,1018.95,1025.58,0,1025.58,1047,0,1047,1053,0,1053,1040,16,1056,1003.14,28,1031.14
3460,Taylor Community School Corp,1189,1201,1253,1211,1268,1258.6,1256,1243.5,1251,0,1251,1244.5,0,1244.5,1239,0,1239,1226,1,1227,1264,0,1264,1263,0,1263
3470,Northwestern School Corp,1765,1748,1813,1819,1829.03,1794.05,1821.57,1817.98,1861.27,0,1861.27,1865.27,0,1865.27,1830,0,1830,1813,0,1813,1899,0,1899,1869,0,1869
3480,Eastern Howard School Corp,1504,1478,1487,1489,1489,1475,1499,1504,1557,0,1557,1554,0,1554,1506,0,1506,1494,0,1494,1556,0,1556,1553,0,1553
3490,Western School Corp,2652,2629,2649,2631,2629,2634,2665,2650,2609,0,2609,2582,0,2582,2556,1,2557,2539,3,2542,2537,4,2541,2515,0,2515
3500,Kokomo School Corporation,5941.8,5937.66,5851.29,5777.86,5737.91,5704.91,5663.82,5540.82,5462.82,0,5462.82,5383.82,0,5383.82,5283,10,5293,5177.49,5,5182.49,4844,90,4934,4733,102,4835
3625,Huntington Co Com Sch Corp,5300.88,5247.88,5175.36,5135.36,5098.59,5059.2,5006.83,4988.88,4999.38,0,4999.38,4946.25,0,4946.25,4908.84,3,4911.84,4936.84,3,4939.84,4915.98,0,4915.98,4804.48,20,4824.48
3640,Medora Community School Corp,214,229,192,200,175,169,152,147,141,0,141,140,0,140,160,0,160,161,1,162,146,1,147,140,9,149
3675,Seymour Community Schools,4591,4559,4668,4623,4665,4676.78,4837,4873,5183,0,5183,5198,0,5198,5144,0,5144,5130,1,5131,5198,63,5261,5071.51,107,5178.51
3695,Brownstown Cnt Com Sch Corp,1671,1672,1585.12,1574.12,1597,1564,1587,1588,1572,0,1572,1525,0,1525,1485,1,1486,1476,3,1479,1455,0,1455,1402,0,1402
3710,Crothersville Community Schools,488,470,466,464,444,431,411,400,421,0,421,421,0,421,440,2,442,435,2,437,465,0,465,456,1,457
3785,Kankakee Valley School Corp,3438,3408,3405,3376,3368,3339,3314,3332,3359,0,3359,3280,0,3280,3205,1,3206,3148,0,3148,3228,2,3230,3187,0,3187
3815,Rensselaer Central School Corp,1571.75,1569.36,1587.53,1569.82,1552.16,1517.69,1553.32,1542.59,1532.75,0,1532.75,1524.73,0,1524.73,1437.63,1,1438.63,1405.52,0,1405.52,1453.64,4,1457.64,1437.78,4,1441.78
3945,Jay School Corp,3452,3425,3379.34,3357.84,3266.05,3240.05,3129.98,3116.38,3146,0,3146,3121,7,3128,2999,6,3005,2956,5,2961,2974,0,2974,2945,0,2945
3995,Madison Consolidated Schools,2787.02,2776.22,2771.45,2746.38,2664.08,2648.73,2581.16,2568.16,2568.27,0,2568.27,2538.27,0,2538.27,2542,0,2542,2513,0,2513,2556,1,2557,2546,0,2546
4000,Southwestern-Jefferson Co Con,1376,1363,1322,1318,1333,1293,1319.02,1285.02,1262,0,1262,1253,5,1258,1258,3,1261,1245,4,1249,1241,9,1250,1191,5,1196
4015,Jennings County Schools,4392.34,4324.48,4355.18,4256.18,4183.88,4099.88,4164.6,4062.6,4137.59,0,4137.59,4070.31,0,4070.31,3941.88,4,3945.88,3882.88,3,3885.88,3960.32,54,4014.32,3926.32,32,3958.32
4145,Clark-Pleasant Com School Corp,6372.43,6387.65,6454.59,6389.59,6546.12,6510.57,6633.59,6608.41,6748.65,0,6748.65,6716.35,0,6716.35,6762.66,3,6765.66,6737.66,0,6737.66,6720,0,6720,6679,1,6680
4205,Center Grove Com Sch Corp,7924,7921,8083,8038,8275,8295,8424,8361,8750,0,8750,8740,0,8740,8841,4,8845,8804,3,8807,9071,0,9071,9105,0,9105
4215,Edinburgh Community Sch Corp,904,879,866,852,817,814,824,792,814,0,814,812,0,812,805,1,806,805,0,805,815,5,820,806,11,817
4225,Franklin Community School Corp,5071.58,5038.87,5078.87,4999.44,5096.99,5029.47,5045.78,5024.98,5050.85,0,5050.85,4984.86,0,4984.86,4928.86,8,4936.86,4863.16,10,4873.16,4850.45,33,4883.45,4705,43,4748
4245,Greenwood Community Sch Corp,3797,3772,3856,3904,4004,3956,3988.9,3967.9,3996,0,3996,3952,0,3952,3948,4,3952,3906,10,3916,3941,9,3950,3883,10,3893
4255,Nineveh-Hensley-Jackson United,1785,1797,1805,1793,1833,1837,1864.06,1857.72,1878.17,64,1942.17,1834.17,127,1961.17,1888.17,4,1892.17,1899.17,2,1901.17,1994.32,2,1996.32,2000.8,2,2002.8
4315,North Knox School Corp,1309,1298.5,1334.5,1321,1346,1334,1344,1309,1318,0,1318,1319,0,1319,1276,0,1276,1248,0,1248,1230,2,1232,1194,6,1200
4325,South Knox School Corp,1216,1216,1244,1251,1252,1242,1249,1254,1262,2,1264,1266,2,1268,1248,1,1249,1224,1,1225,1247,0,1247,1224,0,1224
4335,Vincennes Community Sch Corp,2642,2606,2675,2673,2693,2650,2716,2665,2698,0,2698,2628,0,2628,2694,2,2696,2687,2,2689,2781,2,2783,2724,48,2772
4345,Wawasee Community School Corp,3145.04,3103.34,3039.52,3045.52,3027.1,3017.96,2956.01,2930.35,2905.33,0,2905.33,2857.51,0,2857.51,2824.39,0,2824.39,2774.8,0,2774.8,2835.02,0,2835.02,2732,40,2772
4415,Warsaw Community Schools,7034.03,7011.2,6993.64,6926.5,6971.2,6896.55,6908.46,6885.87,6937.3,0,6937.3,6856.18,0,6856.18,6766.44,4,6770.44,6661.15,3,6664.15,6752.08,0,6752.08,6571.87,72,6643.87
4445,Tippecanoe Valley School Corp,1898.52,1870.3,1847.08,1812.38,1846.23,1795.08,1784.21,1759.18,1766.28,0,1766.28,1764.28,0,1764.28,1744.28,0,1744.28,1726.28,0,1726.28,1744.02,19,1763.02,1725.02,20,1745.02
4455,Whitko Community School Corp,1496,1491,1435,1436,1348,1339,1321,1319,1287,3,1290,1284,0,1284,1236.36,0,1236.36,1232.36,0,1232.36,1222.56,0,1222.56,1200.44,5,1205.44
4515,Prairie Heights Com Sch Corp,1289,1280,1279,1274,1299,1275,1308.5,1319,1382,0,1382,1346,0,1346,1348,1,1349,1326.5,0,1326.5,1352,0,1352,1349.5,0,1349.5
4525,Westview School Corporation,2255,2243,2237,2222,2207,2209,2218,2200,2271,0,2271,2231,0,2231,2105,0,2105,2063,0,2063,2078,0,2078,2070,1,2071
4535,Lakeland School Corporation,2128,2080,2015,1990,1925.5,1924,1867,1844.18,1696,1,1697,1679,0,1679,1625,1,1626,1601,1,1602,1668,0,1668,1632.24,22,1654.24
4580,Hanover Community School Corp,2151,2157.15,2203,2172,2279,2293,2381.26,2380.26,2443,1,2444,2464,1,2465,2488,0,2488,2510,0,2510,2617,0,2617,2591,0,2591
4590,River Forest Community Sch Corp,1498,1500,1532,1564,1632,1616,1661,1602,1587,0,1587,1543,0,1543,1565,1,1566,1566,1,1567,1431,140,1571,1332,258,1590
4600,Merrillville Community School,6697.66,6677.86,6499.22,6559.85,6389.81,6386.19,6332.63,6362.63,6195,0,6195,6207,0,6207,5943,10,5953,5864,6,5870,5678.34,256,5934.34,5689.34,172,5861.34
4615,Lake Central School Corp,9456.58,9388.5,9414,9389.5,9404,9353.99,9459,9400,9414,0,9414,9365,0,9365,9166,2,9168,9169,3,9172,9228,0,9228,9147,0,9147
4645,Tri-Creek School Corp,3320.01,3313.01,3309.01,3281.01,3288.78,3319,3287.5,3290,3247,6,3253,3229,4,3233,3166,1,3167,3154.5,2,3156.5,3234,10,3244,3222,4,3226
4650,Lake Ridge Schools,1955,1919,1884,1883,1870,1875,1810,1796,1720,0,1720,1657,0,1657,1652,0,1652,1591,0,1591,1584,0,1584,1553,0,1553
4660,Crown Point Community Sch Corp,8285,8249,8363.81,8308.81,8452.35,8456.35,8633.02,8569.94,8726.08,0,8726.08,8750.08,0,8750.08,8677.39,0,8677.39,8615.39,3,8618.39,8787,24,8811,8718,0,8718
4670,School City of East Chicago,4476,4421,4421,4421,4204,3852,3742,3683,3707,0,3707,3664,0,3664,3464,6,3470,3417,7,3424,3262,4,3266,3200,6,3206
4680,Lake Station Community Schools,1429,1390,1307,1287,1231,1217,1211,1211,1247,0,1247,1210,0,1210,1187,1,1188,1174,1,1175,1166,3,1169,1161,3,1164
4690,Gary Community School Corp,5915,5843,5255,5332,4681,4815,4584,4590,4350,14,4364,4391,30,4421,4373,7,4380,4437,8,4445,4019,118,4137,3918,209,4127
4700,Griffith Public Schools,2359,2378,2455,2393,2416,2398,2412,2336,2252,0,2252,2222,0,2222,1999,2,2001,1980,3,1983,1984,0,1984,1990,0,1990
4710,School City of Hammond,13135,13006,13142,13098,13064,12993,12519,12397,12172,22,12194,12130,20,12150,11731,34,11765,11665,36,11701,11383,3,11386,11075,64,11139
4720,School Town of Highland,3165,3141,3189,3158,3242,3242,3287,3266,3227,0,3227,3167,0,3167,3076,4,3080,3074,3,3077,3059,4,3063,3016,3,3019
4730,School City of Hobart,4057.07,4063.07,4002.42,3966.42,4005.43,4008.43,4028.37,3958.37,4025,0,4025,4017,0,4017,3917,4,3921,3892,0,3892,4035,0,4035,3927,93,4020
4740,School Town of Munster,3895.28,3904.28,3948.01,3962,3999.02,3992.02,4098.02,4112.52,4136.02,0,4136.02,4109.02,0,4109.02,4037,4,4041,4044,2,4046,4106.42,0,4106.42,4098.42,0,4098.42
4760,Whiting School City,1094,1094,1158,1147,1162,1149,1203,1196,1209,0,1209,1200,0,1200,1166,1,1167,1153,1,1154,1141,0,1141,1128,0,1128
4805,New Prairie United School Corp,2986,2956,3053,3019,3003.64,3003,3015,3009,2991,0,2991,2954,1,2955,2911,0,2911,2883,0,2883,2929,0,2929,2931,1,2932
4860,M S D of New Durham Township,972,960.5,893,878,902,885,897,879.5,889,0,889,887,0,887,882,1,883,890,1,891,895,2,897,878,6,884
4915,Tri-Township Cons School Corp,398,389,383.02,379.02,367,367,370,367,338,0,338,349,0,349,337,0,337,335,0,335,312,1,313,307,0,307
4925,Michigan City Area Schools,5599,5558,5560,5515,5444,5415,5462,5431,5424,0,5424,5345,0,5345,5280,8,5288,5240,5,5245,5294,0,5294,4877.09,313,5190.09
4940,South Central Com School Corp,914,918,937,937,919,910,912,913,926,0,926,936,0,936,934,1,935,939,0,939,961,0,961,949,0,949
4945,LaPorte Community School Corp,6224,6167,6180,6143,6067,6058,5992,5949,6012,25,6037,5934,0,5934,5764,4,5768,5735,7,5742,5697,144,5841,5618,147,5765
5075,North Lawrence Com Schools,4946.17,4928.18,4869.9,4863.66,4841.29,4812.47,4667,4614,4593,0,4593,4534,0,4534,4272,0,4272,4220.5,8,4228.5,3849,33,3882,3795,28,3823
5085,Mitchell Community Schools,1654,1619,1586,1560,1585,1567.03,1551,1529,1501.5,0,1501.5,1483.5,0,1483.5,1480,1,1481,1429,1,1430,1438,37,1475,1381,55,1436
5245,Frankton-Lapel Community Schs,3032,3041,3042.55,3011.55,3032.5,3012,3032,3025,3002,18,3020,3003,0,3003,2957,2,2959,2949,1,2950,2906,84,2990,2862,93,2955
5255,South Madison Com Sch Corp,4593,4520,4486,4491,4466,4411,4358,4310,4317,21,4338,4261,36,4297,4292.29,26,4318.29,4310.29,22,4332.29,4291.6,124,4415.6,4163.45,233.15,4396.6
5265,Alexandria Com School Corp,1526,1465,1569.82,1484.82,1509.8,1442,1521,1446,1607,0,1607,1499,0,1499,1546,2,1548,1480,0,1480,1465,50,1515,1420,50,1470
5275,Anderson Community School Corp,6679,6683,6796,6725,6819,6834,6715,6662,6576,0,6576,6530,0,6530,6339,20,6359,6314.5,15,6329.5,5897,396,6293,5913,356,6269
5280,Elwood Community School Corp,1512,1482.5,1501,1449,1473,1449,1428,1391,1377,0,1377,1389,0,1389,1359.24,0,1359.24,1357.24,0,1357.24,1320.5,53,1373.5,1274.26,102,1376.26
5300,M S D Decatur Township,6135,6138,6351,6421,6713,6731,6651.01,6661.01,6648,0,6648,6708.01,0,6708.01,6626,12,6638,6627,11,6638,6388,124,6512,6337,160,6497
5310,Franklin Township Com Sch Corp,8993,8993,9098,9051,9297.5,9309,9552,9629.98,10119,0,10119,10051,0,10051,10331,18,10349,10406.9,19,10425.9,10841,2,10843,10781,3,10784
5330,M S D Lawrence Township,15250.81,15274.81,15485.11,15554.25,15764.5,15724.5,15565.25,15482.25,15575.5,122,15697.5,15558.5,198,15756.5,15258,130,15388,15353,126,15479,15387.5,421,15808.5,15194,600,15794
5340,M S D Perry Township,15255.6,15177.6,15799.93,15832.48,16299.5,16272.5,16401.15,16260.91,16745.37,0,16745.37,16578.72,0,16578.72,16621.34,25,16646.34,16478.04,24,16502.04,16362.41,2,16364.41,16161.38,2,16163.38
5350,M S D Pike Township,11187,11147,11225,11219,11192,11191,11073,11085,11254,0,11254,11237.8,0,11237.8,10809.88,7,10816.88,10781.32,8,10789.32,10365.14,426,10791.14,9931,767,10698
5360,M S D Warren Township,12034,12007,11963,12032,12008,11935,11877,11724,11592.54,0,11592.54,11499,0,11499,11419,8,11427,11439,10,11449,10674,824,11498,10131,1314,11445
5370,M S D Washington Township,11212.61,11110.14,11416.53,11349.65,11240.51,11176.5,11072.48,10973.48,11062,0,11062,10975,0,10975,10812,0,10812,10774,8,10782,10765.16,13,10778.16,10558,22,10580
5375,M S D Wayne Township,16034.85,15855.49,16126.08,16120.4,16316.27,16297.57,16470.95,16437.98,16560.85,330,16890.85,16457.56,328,16785.56,16287,169,16456,16053,309,16362,15602,733,16335,15362,719,16081
5380,Beech Grove City Schools,3086.26,3068.26,3170.58,3176.15,3215,3105,3033,3027.48,2996.35,0,2996.35,2953.41,0,2953.41,3061,1,3062,3014,3,3017,2869,0,2869,2761,3,2764
5385,Indianapolis Public Schools,28527,28674,27907,28093,26929,26858.5,24818,25379,24707,0,24707,24567.5,10,24577.5,22191,25,22216,22266,9,22275,21293,8,21301,21193,71,21264
5400,School Town of Speedway,1718,1686,1803,1796,1855,1840,1797,1804,1864,0,1864,1841,0,1841,1801,0,1801,1782,0,1782,1844,1,1845,1829,2,1831
5455,Culver Community Schools Corp,832.1,827.1,778.1,766.22,747.1,738.73,767.33,753.48,765.2,0,765.2,749.2,8,757.2,714.22,3,717.22,725.22,3,728.22,773.76,10,783.76,751.76,24,775.76
5470,Argos Community Schools,636.75,610.72,575.6,583.6,596.82,591.2,613.65,593.65,554.42,0,554.42,564.94,0,564.94,579.64,0,579.64,592.38,0,592.38,608.36,14,622.36,623.1,10,633.1
5480,Bremen Public Schools,1514.17,1502.42,1488.67,1473.55,1487.68,1485.68,1492.28,1499.28,1463.8,0,1463.8,1448.8,0,1448.8,1461.93,0,1461.93,1442.43,0,1442.43,1455.78,0,1455.78,1453.65,0,1453.65
5485,Plymouth Community School Corp,3663,3629.07,3598.61,3591.74,3511.64,3462.7,3469.45,3451.97,3429.53,0,3429.53,3392.53,0,3392.53,3384.39,2,3386.39,3312.51,2,3314.51,3278.11,0,3278.11,3262.86,2,3264.86
5495,Triton School Corporation,918,910,899,911,909.13,915.13,923.13,911.13,922.25,0,922.25,907.25,0,907.25,880,0,880,857,0,857,910,0,910,922,0,922
5520,Shoals Community School Corp,577,579,579,574,572,578,616,614,615,0,615,628,0,628,612,0,612,610,0,610,634,19,653,614,19,633
5525,Loogootee Community Sch Corp,847,846.5,811,803,818,813,842,821,788,5,793,790,5,795,758,2,760,759,2,761,722,16,738,723,19,742
5615,Maconaquah School Corp,2271,2268,2261,2252,2198,2162,2103,2077,2097,0,2097,2057,0,2057,2030.65,2,2032.65,1981.31,2,1983.31,1932.77,6,1938.77,1890.02,0,1890.02
5620,North Miami Community Schools,910,907,914,909,889,892,858,860,836,0,836,833,0,833,811.5,2,813.5,804.5,0,804.5,812,2,814,788,2,790
5625,Oak Hill United School Corp,1681.24,1670.27,1703.43,1673.86,1716.16,1705.16,1707.2,1679.2,1699.11,0,1699.11,1678.11,0,1678.11,1652.44,1,1653.44,1650.44,1,1651.44,1602,21,1623,1606.62,17,1623.62
5635,Peru Community Schools,2085.18,2063,2033.18,2022.24,2031.78,1981,1960.69,1920.69,1930.49,0,1930.49,1932.73,0,1932.73,1948.68,2,1950.68,1948.68,1,1949.68,1930.39,0,1930.39,1898.39,0,1898.39
5705,Richland-Bean Blossom C S C,2780,2768,2730,2721,2735.5,2688.5,2596.5,2584.5,2663,0,2663,2646,0,2646,2606,0,2606,2559,1,2560,2601,45,2646,2571,75,2646
5740,Monroe County Com Sch Corp,10801,10727,10847,10721.5,10769,10732.5,10899.5,10751.5,10897,0,10897,10791,0,10791,10344.5,16,10360.5,10247.5,11,10258.5,10257,142,10399,10069,180,10249
5835,North Montgomery Com Sch Corp,1881.05,1870,1861,1905,1868.11,1848.5,1801,1785,1787,0,1787,1802,0,1802,1761,0,1761,1763,0,1763,1814,0,1814,1800,1,1801
5845,South Montgomery Com Sch Corp,1676,1667,1684,1669,1639,1646,1661,1665,1636,0,1636,1618,0,1618,1567,1,1568,1562,1,1563,1561,2,1563,1547,4,1551
5855,Crawfordsville Com Schools,2365.03,2350.03,2423.03,2388.03,2430.03,2431,2455,2438,2459,30,2489,2399,35,2434,2408,10,2418,2391,0,2391,2382,10,2392,2367,9,2376
5900,Monroe-Gregg School District,1504,1499,1514,1531,1490,1498,1494,1503,1489,0,1489,1495,0,1495,1451,0,1451,1488,0,1488,1495,17,1512,1398,124,1522
5910,Eminence Community School Corp,362,373,357,372,360,359,347.1,349.1,347.1,0,347.1,327.1,0,327.1,338,0,338,333,0,333,315,5,320,321,6,327
5925,M S D Martinsville Schools,4873,4765,4602,4557,4488,4444,4301,4302.65,4227.39,0,4227.39,4176.39,0,4176.39,3832.01,12,3844.01,3828,5,3833,3905.36,59,3964.36,3798.32,95.33,3893.65
5930,Mooresville Con School Corp,4487,4434,4442,4426,4367,4402,4408,4369,4396,0,4396,4382,0,4382,4312,2,4314,4336,3,4339,4261,31,4292,4245,28,4273
5945,North Newton School Corp,1349,1341,1404,1385,1376,1347,1255.26,1229.13,1171.26,0,1171.26,1156.13,0,1156.13,1132.24,2,1134.24,1152.24,2,1154.24,1179.26,0,1179.26,1170,1,1171
5995,South Newton School Corp,890,906,853,857,881.27,874.27,835,824,832,0,832,789,0,789,798,0,798,797,0,797,812,0,812,805,0,805
6055,Central Noble Com School Corp,1232.14,1236.14,1223,1198,1194.15,1191.11,1226.03,1208.48,1254.13,0,1254.13,1235.13,0,1235.13,1216,1,1217,1199,0,1199,1165,0,1165,1163,0,1163
6060,East Noble School Corp,3630,3635,3669,3675,3617.8,3594.8,3570.08,3515.08,3478.72,31,3509.72,3431,29,3460,3391,23,3414,3339,3,3342,3386.49,1,3387.49,3330.39,11.88,3342.27
6065,West Noble School Corporation,2427.84,2389.4,2385,2369,2377.47,2352.47,2295.93,2273.93,2277.96,0,2277.96,2226.96,0,2226.96,2189,2,2191,2197,1,2198,2201,0,2201,2181,0,2181
6080,Rising Sun-Ohio Co Com,753,758,770,784,796,782,797,800,817,4,821,805,3,808,810,1,811,823,1,824,802,0,802,793,4,797
6145,Orleans Community Schools,827,808,810,800,824,820,857,850,859,0,859,854,0,854,856,1,857,853,1,854,858,14,872,807,54,861
6155,Paoli Community School Corp,1489,1419,1443,1427,1416.27,1387,1354,1363,1327.4,0,1327.4,1312,0,1312,1241,0,1241,1226,0,1226,1234,6,1240,1221,7,1228
6160,Springs Valley Com School Corp,875,879,855,843,858,846,834,818,866,10,876,862,9,871,837,5,842,833,4,837,814,1,815,786,15,801
6195,Spencer-Owen Community Schools,2499.42,2492.42,2485.42,2482.44,2452.65,2425.64,2366.91,2345,2269,0,2269,2213,0,2213,2129,2,2131,2099,2,2101,2146,0,2146,2149,1.07,2150.07
6260,Southwest Parke Com Sch Corp,1000,984,1024,1009,1000,998,1004,999,986,0,986,984,0,984,982,0,982,955,0,955,974,23,997,955,20,975
6325,Perry Central Com Schools Corp,1183,1178,1207,1204,1185,1187,1202,1196,1176,7,1183,1189,17,1206,1220,5,1225,1231,6,1237,1209,0,1209,1186,17,1203
6340,Cannelton City Schools,236,236,244,242,243,251,255,255,252,0,252,244,0,244,240,0,240,251,0,251,222,2,224,210,9,219
6350,Tell City-Troy Twp School Corp,1459,1470.5,1479.37,1454.37,1423.87,1406.87,1408.12,1384.12,1377.24,6,1383.24,1366.24,6,1372.24,1362.76,1,1363.76,1345.76,0,1345.76,1386.01,8,1394.01,1375.01,5,1380.01
6375,North Central Parke Con Sch Corp,1246,1231,1232,1205,1196,1179,1137,1130,1113,0,1113,1119,0,1119,1153,2,1155,1155,2,1157,1156,19,1175,1116,35,1151
6445,Pike County School Corp,1868,1830,1829,1826,1752,1739.5,1700,1695,1685,0,1685,1693,0,1693,1622,0,1622,1576,1,1577,1569,6,1575,1538,6,1544
6460,M S D Boone Township,1197,1207,1162,1145,1127,1131,1148,1133,1125,0,1125,1115,0,1115,1055,0,1055,1061,1,1062,1027,0,1027,1019,0,1019
6470,Duneland School Corporation,5861,5823,5858,5809,5840,5761,5872,5795,5875,0,5875,5848,0,5848,5821,5,5826,5791,3,5794,5688,163,5851,5630,176,5806
6510,East Porter County School Corp,2459,2467,2500,2499,2547,2523,2509,2493,2484,0,2484,2468,0,2468,2430,1,2431,2406,0,2406,2457,0,2457,2453,0,2453
6520,Porter Township School Corp,1389,1388,1341,1357,1388,1400,1425,1424,1462,0,1462,1443,0,1443,1370,1,1371,1372,1,1373,1319,57,1376,1322,72,1394
6530,Union Township School Corp,1504,1499,1467,1465,1452,1440,1464,1465,1474,0,1474,1497,0,1497,1443,0,1443,1447.29,0,1447.29,1435.33,2,1437.33,1431,3,1434
6550,Portage Township Schools,7779,7697,7721,7612,7656,7641,7490,7428,7373,0,7373,7345,0,7345,7097,13,7110,7034,8,7042,7004,6,7010,6874,20,6894
6560,Valparaiso Community Schools,6166.57,6149.9,6253.4,6238.23,6278.25,6292.25,6320.18,6311.07,6311.51,0,6311.51,6316.01,0,6316.01,6250.72,5,6255.72,6224.87,2,6226.87,6338.71,51,6389.71,6315.71,46,6361.71
6590,M S D Mount Vernon,2056.25,2042.25,2066.04,2026.6,2033.41,1994.41,1985.57,1950.54,2016.88,0,2016.88,2003.18,0,2003.18,1998.04,3,2001.04,1981.31,3,1984.31,2044.98,4,2048.98,2006.98,2,2008.98
6600,M S D North Posey Co Schools,1417.13,1415.13,1409.13,1388.13,1406.13,1374,1396,1386.98,1408.1,0,1408.1,1376.1,0,1376.1,1390.61,0,1390.61,1395.61,0,1395.61,1422.24,0,1422.24,1417.24,0,1417.24
6620,Eastern Pulaski Com Sch Corp,1275,1265,1262,1225,1287,1265,1233.26,1190.26,1195.26,0,1195.26,1151.91,1,1152.91,1123.52,0,1123.52,1116.52,0,1116.52,1166,3,1169,1137,3,1140
