Indicator,Points,Rating,Weight,Weighted Points
ELA Academic Achievement,30.78,Does Not Meet Expectations,2.00,61.560
Math Academic Achievement,42.53,Approaches Expectations,2.00,85.060
ELA Academic Progress,50.95,Approaches Expectations,2.00,101.900
Math Academic Progress,41.47,Approaches Expectations,2.00,82.940
ELA Closing Achievement Gaps,7.60,Does Not Meet Expectations,0.50,3.800
Math Closing Achievement Gaps,20.96,Does Not Meet Expectations,0.50,10.480
Progress in Achieving English Language Proficiency,19.37,Does Not Meet Expectations,1.00,19.370
Addressing Chronic Absenteeism,41.02,Does Not Meet Expectations,1.00,41.020
Elementary/Middle School Overall Weight and Points:,,,11.00,36.92
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Enrollment,Enrollment Percent
Grades 03-08,103,100.00 %
Grades 09-12,0,0.00 %
Sugroup,Points,Rating,Subgroup,Points,Rating
American Indian/Alaskan Native,0,No Rating,Asian,0,No Rating
Black,33.95,Does Not Meet Expectations,Hispanic Ethnicity,53.24,Does Not Meet Expectations
Multiracial,0,No Rating,Native Hawaiian or Other Pacific Islander,0,No Rating
White,0,No Rating,English Language Learner,39.94,Does Not Meet Expectations
Free/Reduced Lunch,37.68,Does Not Meet Expectations,Special Education,34.61,Does Not Meet Expectations
,Grades 03-08,,,,
Subject Area,Pass Rate,Participation,Perf. Points,Goal Factor,Overall Points
English/Lang. Arts,"22.8 %
( 21 /  92)","100.0 %
( 92 /  92)",22.8,1.35,30.78
Mathematics,"31.5 %
( 29 /  92)","100.0 %
( 92 /  92)",31.5,1.35,42.53
,Grade 11,,,,
Subject Area,Pass Rate,Participation,Perf. Points,Goal Factor,Overall Points
English/Lang. Arts,,,,,
Mathematics,,,,,
,Grades 4-8,,
Subject Area,Adequate Growth Rate,Goal Factor,Overall Points
English/Lang. Arts,"38.6 %
( 17 /  44)",1.32,50.95
Mathematics,"28.6 %
( 12 /  42)",1.45,41.47
,Grade 112,,
Subject Area,Adequate Growth Rate,Goal Factor,Overall Points
English/Lang. Arts,,,
Mathematics,,,
,Grades 4-8,,,,
Subject Area,Bottom 25% Adequate Growth Rate,Top 75% Adequate Growth Rate,Weighted Adequate Growth Rate,Goal Factor,Overall Points
English/Lang. Arts,"0.0 %
( 0 /  10)","50.0 %
( 17 /  34)",5.0 %,1.52,7.60
Mathematics,"10.0 %
( 1 /  10)","34.4 %
( 11 /  32)",12.4 %,1.69,20.96
,,,,,
,,,,,
,,,,,
,,,,,
Grade Span,"Met Goal or Achieved Proficiency
Rate",Goal Factor,Points
Grades K-8,"13.0 %
( 3 /  23)",1.49,19.37
,,,
Grade Span,"Model Attendee
Rate",Goal Factor,Overall Points
Grades K-8,"33.9 %
( 82 /  242)",1.21,41.02
,,,
